"","types","original_price","discount_price","original_level"
"199","app",19.99,10.77,"very high"
"200","app",19.99,16.99,"very high"
"201","app",0,NA,"very low"
"202","app",29.99,NA,"very high"
"203","app",59.99,38.99,"very high"
"204","app",14.99,22.46,"very high"
"205","bundle",21.98,6.16,"moderate"
"206","app",39.99,169.92,"very high"
"207","app",29.99,122.31,"very high"
"208","app",49.99,NA,"very high"
"209","app",0,59.98,"very low"
"210","app",19.99,9.99,"very high"
"211","app",12.99,8.7,"high"
"212","app",19.99,NA,"very high"
"213","app",39.99,83.96,"very high"
"214","bundle",NA,44.98,"very high"
"215","app",19.99,23.38,"very high"
"216","app",1.02,906.48,"very low"
"217","sub",59.99,29.99,"very high"
"218","app",29.99,216.31,"very high"
"219","app",24.99,44.98,"very high"
"220","app",19.99,26.98,"very high"
"221","app",0,NA,"very low"
"222","app",9.99,NA,"high"
"223","app",19.99,NA,"very high"
"224","app",0,NA,"very low"
"225","app",24.99,216.31,"very high"
"226","app",19.99,NA,"very high"
"227","app",39.99,NA,"very high"
"228","app",9.99,28.09,"high"
"229","app",24.99,17.49,"very high"
"230","app",24.99,NA,"very high"
"231","bundle",NA,29.96,"very high"
"232","bundle",NA,49.33,"very high"
"233","app",28,16.8,"very high"
"234","app",1.02,906.48,"very low"
"235","app",0,NA,"very low"
"236","app",14.99,35.97,"very high"
"237","app",NA,NA,"very high"
"238","bundle",NA,39.85,"very high"
"239","app",39.99,64.75,"very high"
"240","app",29.99,98.75,"very high"
"241","app",7.99,25.16,"high"
"242","sub",79.99,39.99,"very high"
"243","app",24.99,35.98,"very high"
"244","app",14.99,NA,"very high"
"245","bundle",NA,31.48,"very high"
"246","app",24.99,28.48,"very high"
"247","app",29.99,34.61,"very high"
"248","app",14.99,23.97,"very high"
"249","app",9.99,36.81,"high"
"250","app",29.99,14.99,"very high"
"251","bundle",NA,33.98,"very high"
"252","app",59.99,99.7,"very high"
"253","app",29.99,320.94,"very high"
"254","app",0,NA,"very low"
"255","app",49.99,80.98,"very high"
"256","app",9.99,14.98,"high"
"257","app",24.99,44.83,"very high"
"258","app",44.99,320.94,"very high"
"259","app",24.99,NA,"very high"
"260","bundle",NA,39.88,"very high"
"261","app",0,NA,"very low"
"262","app",9.99,8.99,"high"
"263","app",19.99,NA,"very high"
"264","app",24.99,98.75,"very high"
"265","sub",29.99,14.99,"high"
"266","app",0,NA,"very low"
"267","app",39.99,9.99,"very high"
"268","app",59.95,NA,"very high"
"269","app",19.99,64.69,"very high"
"270","app",39.99,NA,"very high"
"271","app",9.99,NA,"high"
"272","app",9.99,14.98,"high"
"273","app",0,NA,"very low"
"274","app",14.99,NA,"very high"
"275","app",24.99,48.55,"very high"
"276","app",1.02,906.48,"very low"
"277","app",44.99,NA,"very high"
"278","app",24.99,169.92,"very high"
"279","app",0,NA,"very low"
"280","app",29.99,NA,"very high"
"281","app",59.99,14.93,"very high"
"282","app",11.99,NA,"high"
"283","app",0,75.67,"very low"
"284","app",0,NA,"very low"
"285","sub",39.99,29.99,"very high"
"286","app",19.99,49.56,"very high"
"287","app",24.99,44.98,"very high"
"288","app",3.99,NA,"moderate"
"289","app",24.99,NA,"very high"
"290","app",19.99,44.98,"very high"
"291","app",24.99,NA,"very high"
"292","app",59.99,NA,"very high"
"293","app",9.99,NA,"high"
"294","app",29.99,NA,"very high"
"295","app",19.99,9.99,"very high"
"296","app",59.99,NA,"very high"
"297","app",44.99,NA,"very high"
"298","app",14.99,NA,"very high"
"299","app",19.99,16.99,"very high"
"300","app",39.99,251.58,"very high"
"301","app",59.99,NA,"very high"
"302","app",14.99,24.48,"very high"
"303","app",19.99,14.99,"very high"
"304","app",14.99,79.84,"very high"
"305","app",59.99,NA,"very high"
"306","app",0,NA,"very low"
"307","app",29.99,39.85,"very high"
"308","app",24.99,NA,"very high"
"309","app",9.99,20.16,"high"
"310","app",9.99,NA,"high"
"311","app",29.99,NA,"very high"
"312","app",29.99,47.67,"very high"
"313","app",59.99,NA,"very high"
"314","app",49.99,NA,"very high"
"315","app",19.99,39.97,"very high"
"316","app",29.99,14.99,"very high"
"317","app",19.99,NA,"very high"
"318","app",39.99,NA,"very high"
"319","app",29.99,14.99,"very high"
"320","bundle",NA,12.9,"very high"
"321","app",0,NA,"very low"
"322","app",29.99,NA,"very high"
"323","app",14.99,4.64,"very high"
"324","app",19.99,23.78,"very high"
"325","app",24.99,17.49,"very high"
"326","app",29.99,134.95,"very high"
"327","app",39.99,NA,"very high"
"328","app",19.99,39.96,"very high"
"329","app",19.99,NA,"very high"
"330","app",29.99,20.09,"very high"
"331","app",34.99,NA,"very high"
"332","app",19.99,NA,"very high"
"333","app",30,NA,"very high"
"334","app",59.99,NA,"very high"
"335","app",14.99,2.99,"very high"
"336","app",9.99,NA,"high"
"337","app",0,NA,"very low"
"338","app",59.99,38.99,"very high"
"339","app",29.99,34.98,"very high"
"340","app",0,NA,"very low"
"341","app",14.99,7.49,"very high"
"342","app",49.99,NA,"very high"
"343","app",34.99,NA,"very high"
"344","app",14.99,28.09,"very high"
"345","app",39.99,74.64,"very high"
"346","app",39.99,29.96,"very high"
"347","app",29.99,25.49,"very high"
"348","app",14.99,NA,"very high"
"349","sub",39.99,8.79,"very high"
"350","app",1.02,906.48,"very low"
"351","app",44.99,NA,"very high"
"352","app",59.99,29.99,"very high"
"353","app",29.99,97.99,"very high"
"354","app",0,NA,"very low"
"355","app",39.99,35.99,"very high"
"356","app",19.99,NA,"very high"
"357","app",44.99,320.94,"very high"
"358","app",24.99,18.74,"very high"
"359","app",39.99,19.99,"very high"
"360","bundle",NA,59.98,"very high"
"361","app",29.99,NA,"very high"
"362","app",59.99,79.98,"very high"
"363","app",39.99,NA,"very high"
"364","app",9.99,NA,"high"
"365","app",19.99,33.98,"very high"
"366","app",39.99,59.47,"very high"
"367","app",59.99,NA,"very high"
"368","app",39.99,94.45,"very high"
"369","app",59.99,NA,"very high"
"370","app",17.99,13.49,"very high"
"371","app",0,NA,"very low"
"372","app",34.99,NA,"very high"
"373","app",14.99,NA,"very high"
"374","app",49.99,90.23,"very high"
"375","app",39.99,9.99,"very high"
"376","app",29.99,23.99,"very high"
"377","app",59.99,NA,"very high"
"378","app",57.98,35.86,"very high"
"379","app",59.99,70.48,"very high"
"380","bundle",NA,34.26,"very high"
"381","app",59.99,NA,"very high"
"382","app",24.99,18.74,"very high"
"383","app",59.99,NA,"very high"
"384","sub",59.99,17.99,"very high"
"385","app",44.99,NA,"very high"
"386","app",19.99,NA,"very high"
"387","app",0,65.7,"very low"
"388","app",19.99,31.48,"very high"
"389","app",29.99,NA,"very high"
"390","app",29.99,39.89,"very high"
"391","app",0,NA,"very low"
"392","app",19.99,24.48,"very high"
"393","app",39.99,13.59,"very high"
"394","app",39.99,11.99,"very high"
"395","app",19.99,15.99,"very high"
"396","app",29.99,55.76,"very high"
"397","app",39.99,71.97,"very high"
"398","app",19.99,34.26,"very high"
"399","app",59.99,29.58,"very high"
"400","app",39.99,27.99,"very high"
"401","app",59.99,NA,"very high"
"402","app",29.99,NA,"very high"
"403","app",9.99,NA,"high"
"404","sub",59.99,29.99,"very high"
"405","app",39.99,23.99,"very high"
"406","app",29.99,14.99,"very high"
"407","app",34.99,NA,"very high"
"408","app",29.99,35.18,"very high"
"409","app",19.99,9.99,"very high"
"410","app",29.99,39.88,"very high"
"411","app",39.99,11.99,"very high"
"412","app",59.99,NA,"very high"
"413","app",19.99,NA,"very high"
"414","app",19.99,59.98,"very high"
"415","app",19.99,4.99,"very high"
"416","app",59.99,14.99,"very high"
"417","app",19.99,53.95,"very high"
"418","sub",49.99,14.99,"very high"
"419","app",0,NA,"very low"
"420","app",0,65.7,"very low"
"421","sub",84.98,21.24,"very high"
"422","app",19.99,9.99,"very high"
"423","app",0,65.7,"very low"
"424","bundle",229.48,6.02,"very high"
"425","app",19.99,NA,"very high"
"426","bundle",NA,29.55,"very high"
"427","app",14.99,NA,"very high"
"428","app",4.99,46,"moderate"
"429","app",24.99,4.99,"very high"
"430","app",14.99,3.74,"very high"
"431","app",14.99,NA,"very high"
"432","app",39.99,NA,"very high"
"433","app",7.99,29.55,"high"
"434","app",24.99,33.23,"very high"
"435","app",14.99,NA,"very high"
"436","app",49.99,NA,"very high"
"437","app",9.99,NA,"high"
"438","app",39.99,NA,"very high"
"439","app",14.99,NA,"very high"
"440","app",14.99,NA,"very high"
"441","app",14.99,44.96,"very high"
"442","app",24.99,59.47,"very high"
"443","app",19.99,NA,"very high"
"444","app",14.99,22.47,"very high"
"445","app",59.99,NA,"very high"
"446","app",0,NA,"very low"
"447","app",11.99,10.79,"high"
"448","app",19.99,NA,"very high"
"449","app",0,NA,"very low"
"450","bundle",NA,38.31,"very high"
"451","app",269.69,23.97,"very high"
"452","app",29.99,NA,"very high"
"453","app",59.99,NA,"very high"
"454","app",19.99,27.96,"very high"
"455","app",59.99,NA,"very high"
"456","app",19.99,NA,"very high"
"457","app",9.99,NA,"high"
"458","app",9.99,29.66,"high"
"459","app",24.99,NA,"very high"
"460","app",29.99,80.98,"very high"
"461","app",24.99,31.48,"very high"
"462","app",49.99,NA,"very high"
"463","app",19.99,NA,"very high"
"464","app",19.99,29.98,"very high"
"465","app",19.99,70.37,"very high"
"466","app",19.99,33.97,"very high"
"467","bundle",NA,29.66,"very high"
"468","app",19.99,121.44,"very high"
"469","app",19.99,NA,"very high"
"470","app",24.99,NA,"very high"
"471","app",9.99,18.87,"high"
"472","app",29.99,NA,"very high"
"473","app",39.99,23.99,"very high"
"474","app",29.98,16.86,"very high"
"475","app",19.99,NA,"very high"
"476","app",0,NA,"very low"
"477","app",19.99,11.97,"very high"
"478","app",9.99,NA,"high"
"479","app",14.99,NA,"very high"
"480","app",19.99,28.87,"very high"
"481","app",14.99,17.98,"very high"
"482","app",31.99,NA,"very high"
"483","app",14.99,NA,"very high"
"484","app",19.99,26.98,"very high"
"485","app",12.99,16.97,"high"
"486","app",16.99,118.02,"very high"
"487","bundle",NA,33.98,"very high"
"488","app",29.99,NA,"very high"
"489","app",52.98,43.63,"very high"
"490","app",5.99,NA,"moderate"
"491","app",9.99,NA,"high"
"492","app",39.99,98.96,"very high"
"493","app",39.98,26.98,"very high"
"494","app",14.99,NA,"very high"
"495","app",6.99,NA,"high"
"496","app",41.98,69.27,"very high"
"497","app",24.99,NA,"very high"
"498","app",0,NA,"very low"
"499","app",0,NA,"very low"
"500","app",12.99,30.76,"high"
"501","app",19.99,NA,"very high"
"502","bundle",NA,59.11,"very high"
"503","app",1.99,11.83,"low"
"504","app",59.99,NA,"very high"
"505","app",19.99,59.29,"very high"
"506","app",14.99,NA,"very high"
"507","bundle",NA,23.97,"very high"
"508","app",9.99,121.48,"high"
"509","app",4.99,NA,"moderate"
"510","app",99.99,NA,"very high"
"511","app",59.99,80.98,"very high"
"512","app",1.02,906.48,"very low"
"513","app",14.99,NA,"very high"
"514","app",0,NA,"very low"
"515","app",19.99,NA,"very high"
"516","app",0,NA,"very low"
"517","app",39.99,NA,"very high"
"518","app",19.99,NA,"very high"
"519","app",49.99,NA,"very high"
"520","app",8.99,NA,"high"
"521","app",19.99,23.98,"very high"
"522","app",39.99,134.95,"very high"
"523","app",34.99,63.73,"very high"
"524","app",9.99,2.49,"high"
"525","app",24.99,43.98,"very high"
"526","app",19.99,47.17,"very high"
"527","app",29.99,84.97,"very high"
"528","app",2.99,NA,"low"
"529","app",19.99,NA,"very high"
"530","bundle",NA,62.06,"very high"
"531","app",14.99,NA,"very high"
"532","app",19.99,40.48,"very high"
"533","sub",29.99,1.99,"high"
"534","app",10.99,69.23,"high"
"535","app",24.99,59.47,"very high"
"536","app",39.99,71.95,"very high"
"537","app",49.99,80.96,"very high"
"538","app",17.99,NA,"very high"
"539","app",0,NA,"very low"
"540","bundle",NA,34.98,"very high"
"541","app",39.99,118.25,"very high"
"542","app",6.99,323.46,"high"
"543","bundle",264.82,231.57,"very high"
"544","app",19.99,29.98,"very high"
"545","app",16.99,NA,"very high"
"546","app",29.99,49.77,"very high"
"547","app",59.99,NA,"very high"
"548","app",0,NA,"very low"
"549","app",9.99,NA,"high"
"550","app",29.99,80.98,"very high"
"551","app",11.99,NA,"high"
"552","app",29.99,NA,"very high"
"553","app",19.99,NA,"very high"
"554","app",4.99,NA,"moderate"
"555","app",9.99,27.85,"high"
"556","app",39.99,43.98,"very high"
"557","app",19.99,NA,"very high"
"558","app",9.99,NA,"high"
"559","app",19.99,NA,"very high"
"560","bundle",84.93,66.73,"very high"
"561","app",20.99,NA,"very high"
"562","bundle",NA,23.9,"very high"
"563","app",19.99,NA,"very high"
"564","app",12.99,NA,"high"
"565","app",15.99,NA,"very high"
"566","app",14.99,NA,"very high"
"567","app",9.99,25.16,"high"
"568","app",29.99,59.96,"very high"
"569","bundle",NA,70.48,"very high"
"570","bundle",NA,49.98,"very high"
"571","app",0,NA,"very low"
"572","app",19.99,51.94,"very high"
"573","app",0,35.98,"very low"
"574","app",14.99,NA,"very high"
"575","app",16.99,14.44,"very high"
"576","app",19.99,NA,"very high"
"577","app",39.99,74.67,"very high"
"578","app",0,28.48,"very low"
"579","app",19.99,NA,"very high"
"580","app",4.99,2.49,"moderate"
"581","app",14.99,NA,"very high"
"582","app",39.99,NA,"very high"
"583","app",59.99,29.99,"very high"
"584","app",19.99,NA,"very high"
"585","app",14.99,29.97,"very high"
"586","app",19.99,NA,"very high"
"587","app",9.99,29.97,"high"
"588","app",29.99,NA,"very high"
"589","app",4.99,NA,"moderate"
"590","app",19.99,27.17,"very high"
"591","app",29.99,NA,"very high"
"592","app",0,78.72,"very low"
"593","app",19.99,NA,"very high"
"594","app",9.99,65.7,"high"
"595","app",39.99,71.97,"very high"
"596","bundle",NA,21.58,"very high"
"597","app",9.99,65.7,"high"
"598","app",19.99,35.06,"very high"
"599","app",34.99,NA,"very high"
"600","app",49.99,NA,"very high"
"601","app",13.99,NA,"high"
"602","app",49.99,63.73,"very high"
"603","bundle",NA,48.55,"very high"
"604","app",19.99,NA,"very high"
"605","app",19.99,NA,"very high"
"606","app",49.99,121.44,"very high"
"607","app",11.99,NA,"high"
"608","app",13.99,NA,"high"
"609","app",24.99,NA,"very high"
"610","app",4.99,NA,"moderate"
"611","sub",24.99,NA,"high"
"612","app",59.99,NA,"very high"
"613","app",19.99,NA,"very high"
"614","app",29.99,NA,"very high"
"615","app",0,NA,"very low"
"616","app",19.99,13.99,"very high"
"617","app",59.99,NA,"very high"
"618","app",29.99,NA,"very high"
"619","app",29.99,59.35,"very high"
"620","app",59.99,NA,"very high"
"621","app",19.99,134.95,"very high"
"622","app",44.99,NA,"very high"
"623","app",14.99,NA,"very high"
"624","app",6.99,4.89,"high"
"625","app",0,NA,"very low"
"626","app",19.99,NA,"very high"
"627","app",0,NA,"very low"
"628","app",19.99,42.46,"very high"
"629","app",0,NA,"very low"
"630","app",NA,NA,"very high"
"631","app",9.99,29.66,"high"
"632","app",24.99,13.74,"very high"
"633","app",24.99,NA,"very high"
"634","app",29.99,NA,"very high"
"635","app",24.99,NA,"very high"
"636","app",9.99,NA,"high"
"637","app",14.99,145.74,"very high"
"638","app",24.99,NA,"very high"
"639","app",19.99,NA,"very high"
"640","app",0,NA,"very low"
"641","app",88.94,26.36,"very high"
"642","app",3.99,NA,"moderate"
"643","app",59.99,NA,"very high"
"644","app",29.99,NA,"very high"
"645","bundle",NA,98.75,"very high"
"646","bundle",NA,44.83,"very high"
"647","app",19.99,9.99,"very high"
"648","app",24.99,27.98,"very high"
"649","app",39.99,NA,"very high"
"650","app",9.99,NA,"high"
"651","app",14.99,4.49,"very high"
"652","app",49.99,NA,"very high"
"653","app",49.99,NA,"very high"
"654","app",9.99,24.08,"high"
"655","app",5.99,24.08,"moderate"
"656","app",44.99,NA,"very high"
"657","app",9.99,225.35,"high"
"658","app",19.99,NA,"very high"
"659","app",24.99,NA,"very high"
"660","app",19.99,60.08,"very high"
"661","app",4.99,7.98,"moderate"
"662","app",0,NA,"very low"
"663","app",29.99,NA,"very high"
"664","app",149.99,299.97,"very high"
"665","app",39.99,NA,"very high"
"666","app",6.99,16.76,"high"
"667","app",19.99,NA,"very high"
"668","app",19.99,59.47,"very high"
"669","app",14.99,NA,"very high"
"670","app",19.99,NA,"very high"
"671","app",29.99,NA,"very high"
"672","app",29.99,50,"very high"
"673","app",19.99,24.88,"very high"
"674","app",29.99,33.28,"very high"
"675","app",14.99,169.92,"very high"
"676","app",29.99,62.06,"very high"
"677","app",7.99,29.55,"high"
"678","app",19.99,NA,"very high"
"679","sub",24.99,NA,"high"
"680","app",19.99,NA,"very high"
"681","app",19.99,58.46,"very high"
"682","app",0,NA,"very low"
"683","app",29.99,169.92,"very high"
"684","app",12.99,7.79,"high"
"685","bundle",NA,46.52,"very high"
"686","app",79.99,89.98,"very high"
"687","app",15.99,NA,"very high"
"688","app",29.99,169.92,"very high"
"689","app",49.99,NA,"very high"
"690","app",19.99,NA,"very high"
"691","app",0,NA,"very low"
"692","app",7.99,29.55,"high"
"693","bundle",NA,44.98,"very high"
"694","app",19.99,27.18,"very high"
"695","app",19.99,9.99,"very high"
"696","app",14.99,NA,"very high"
"697","app",9.99,225.35,"high"
"698","app",39.99,NA,"very high"
"699","app",29.99,75.96,"very high"
"700","app",29.99,107.96,"very high"
"701","app",19.99,NA,"very high"
"702","app",14.99,NA,"very high"
"703","app",14.99,NA,"very high"
"704","app",7.99,NA,"high"
"705",NA,29.99,23.99,"very high"
"706","app",4.99,NA,"moderate"
"707","bundle",NA,97.11,"very high"
"708","app",19.99,NA,"very high"
"709","app",0,NA,"very low"
"710","app",19.99,NA,"very high"
"711","app",0,NA,"very low"
"712","app",29.99,75.96,"very high"
"713","app",9.99,145.74,"high"
"714","bundle",NA,71.94,"very high"
"715","app",19.99,33.1,"very high"
"716","app",29.99,NA,"very high"
"717","app",14.99,NA,"very high"
"718","app",29.99,NA,"very high"
"719","app",7.99,29.55,"high"
"720","bundle",NA,59.97,"very high"
"721","app",0,NA,"very low"
"722","bundle",NA,12.9,"very high"
"723","app",12.99,25.17,"high"
"724","app",19.99,9.99,"very high"
"725","app",19.99,12.99,"very high"
"726","app",29.99,9.89,"very high"
"727","app",19.99,225.35,"very high"
"728","app",0,NA,"very low"
"729","app",9.99,225.35,"high"
"730","app",15.99,NA,"very high"
"731","app",19.99,13.99,"very high"
"732","app",14.99,NA,"very high"
"733","app",24.99,NA,"very high"
"734","app",29.99,121.44,"very high"
"735","app",19.99,122.31,"very high"
"736","app",39.99,NA,"very high"
"737","app",39.99,NA,"very high"
"738","app",9.99,NA,"high"
"739","app",0,NA,"very low"
"740","app",14.99,13.49,"very high"
"741","app",49.99,NA,"very high"
"742","app",19.99,NA,"very high"
"743","app",29.99,37.31,"very high"
"744","app",19.99,NA,"very high"
"745","app",76.95,53.15,"very high"
"746","app",29.99,44.98,"very high"
"747","app",24.99,NA,"very high"
"748","app",39.99,107.96,"very high"
"749","app",29.99,2.05,"very high"
"750","app",19.99,NA,"very high"
"751","app",49.99,NA,"very high"
"752","app",19.99,NA,"very high"
"753","app",14.99,NA,"very high"
"754","app",49.99,9.99,"very high"
"755","app",49.99,NA,"very high"
"756","sub",24.99,12.49,"high"
"757","app",14.99,NA,"very high"
"758","app",0,NA,"very low"
"759","app",14.99,39.97,"very high"
"760","app",9.99,233.94,"high"
"761","app",0,NA,"very low"
"762","app",29.99,69.02,"very high"
"763","app",0,NA,"very low"
"764","app",29.99,83.96,"very high"
"765","app",19.99,NA,"very high"
"766","app",24.99,NA,"very high"
"767","app",19.99,98.96,"very high"
"768","bundle",NA,14.98,"very high"
"769","app",29.99,NA,"very high"
"770","sub",24.99,NA,"high"
"771","app",19.99,NA,"very high"
"772","app",14.99,NA,"very high"
"773","app",49.99,NA,"very high"
"774","bundle",NA,36.4,"very high"
"775","app",29.99,NA,"very high"
"776","app",14.99,9.74,"very high"
"777","app",24.99,NA,"very high"
"778","app",39.99,NA,"very high"
"779","app",0,59.11,"very low"
"780","app",19.99,71.2,"very high"
"781","app",0,NA,"very low"
"782","app",19.99,NA,"very high"
"783","app",14.99,22.48,"very high"
"784","app",29.99,NA,"very high"
"785","bundle",NA,39.96,"very high"
"786","app",15.99,NA,"very high"
"787","app",4.99,29.55,"moderate"
"788","app",19.99,32.86,"very high"
"789","app",29.99,14.99,"very high"
"790","app",14.99,NA,"very high"
"791","app",29.99,NA,"very high"
"792","app",29.99,NA,"very high"
"793","app",39.99,69.09,"very high"
"794","app",24.99,NA,"very high"
"795","app",13.99,15.28,"high"
"796","app",19.99,NA,"very high"
"797","app",19.99,NA,"very high"
"798","app",14.99,50.35,"very high"
"799","app",9.99,NA,"high"
"800","app",24.99,98.75,"very high"
"801","app",0,NA,"very low"
"802","app",0,412.53,"very low"
"803","app",0,NA,"very low"
"804","app",14.99,NA,"very high"
"805","app",49.99,44.98,"very high"
